Al
46.000,215.000,0,9.213467,106319,458,285,171,207
46.000,215.000,1,8.188190,94657,377,260,163,161
46.000,215.000,2,7.435857,86017,381,204,166,170
46.000,215.000,3,9.706473,111224,416,288,193,232
46.000,215.000,4,7.321456,83983,379,214,182,148
46.000,215.000,5,7.172882,82596,365,227,176,161
46.000,215.000,6,10.143096,116691,503,303,200,215
46.000,215.000,7,8.237044,94618,371,246,156,197
46.000,215.000,8,8.226769,94501,376,302,172,178
46.000,215.000,9,7.989630,92381,363,265,165,160
46.000,215.000,10,7.421575,84877,386,219,162,160
46.000,215.000,11,7.419632,85190,365,229,156,177
46.000,215.000,12,7.871984,90114,376,263,161,166
46.000,215.000,13,7.190503,82963,338,206,155,157
46.000,215.000,14,7.152731,82198,391,226,132,179
46.000,215.000,15,7.128913,82013,390,214,153,181
46.000,215.000,16,14.104983,161380,688,442,333,299
46.000,215.000,17,8.787862,101121,419,301,165,180
46.000,215.000,18,8.507815,98305,456,249,176,177
46.000,215.000,19,26.991507,310463,1300,853,559,643
Tyvek
46.000,215.000,0,7.210432,83100,940,671,517,569
46.000,215.000,1,8.897819,102270,1069,840,676,727
46.000,215.000,2,7.765541,89201,985,738,597,579
46.000,215.000,3,9.427508,108443,1199,855,789,680
46.000,215.000,4,7.123555,81864,913,691,558,590
46.000,215.000,5,8.165425,93769,1009,752,645,647
46.000,215.000,6,14.520021,167063,1819,1344,1161,1227
46.000,215.000,7,8.325936,96075,1071,775,651,662
46.000,215.000,8,8.380730,96623,1007,795,612,670
46.000,215.000,9,9.823078,112975,1281,930,782,809
46.000,215.000,10,6.979094,80538,853,633,543,541
46.000,215.000,11,8.965251,102976,1068,810,644,720
46.000,215.000,12,7.251535,83347,944,638,561,598
46.000,215.000,13,7.848555,90275,997,706,661,637
46.000,215.000,14,9.535684,109589,1191,895,782,770
46.000,215.000,15,9.595205,109853,1280,890,741,766
46.000,215.000,16,7.441842,85833,909,691,585,623
46.000,215.000,17,7.427876,85619,942,699,621,605
46.000,215.000,18,7.242625,83334,944,696,529,577
46.000,215.000,19,7.774363,89259,969,747,605,599
esr
46.000,215.000,0,7.981279,91647,1152,822,715,749
46.000,215.000,1,10.621202,122455,1489,1167,958,1004
46.000,215.000,2,7.998201,92048,1084,862,704,762
46.000,215.000,3,7.616787,87443,999,819,693,718
46.000,215.000,4,9.076676,104627,1239,999,867,873
46.000,215.000,5,8.379583,96111,1187,860,785,812
46.000,215.000,6,7.135218,82361,966,821,661,665
46.000,215.000,7,7.341302,84472,983,732,667,694
46.000,215.000,8,7.281183,83341,982,743,656,686
46.000,215.000,9,10.594779,122147,1465,1082,916,1056
46.000,215.000,10,8.070630,92349,1139,894,719,756
46.000,215.000,11,10.662095,122784,1412,1145,927,971
46.000,215.000,12,7.390602,84536,1038,772,617,691
46.000,215.000,13,9.087426,104755,1297,1049,806,883
46.000,215.000,14,9.435555,108068,1268,1043,891,869
46.000,215.000,15,6.737069,77205,928,724,607,643
46.000,215.000,16,8.862578,101928,1242,931,802,826
46.000,215.000,17,6.934902,80222,1067,797,678,649
46.000,215.000,18,12.054331,138245,1595,1320,1097,1147
46.000,215.000,19,7.813896,89833,1045,816,717,748
Tyvek0.9
46.000,215.000,0,9.480508,108536,696,493,355,415
46.000,215.000,1,12.918034,148084,940,672,495,525
46.000,215.000,2,6.963064,80107,506,373,272,307
46.000,215.000,3,8.647900,99286,658,452,341,357
46.000,215.000,4,6.968375,80485,539,394,306,292
46.000,215.000,5,7.996548,91457,577,404,304,355
46.000,215.000,6,7.438042,85714,554,404,289,316
46.000,215.000,7,8.229261,94014,612,391,297,344
46.000,215.000,8,7.614418,87358,586,408,307,342
46.000,215.000,9,6.806328,78546,536,378,275,272
46.000,215.000,10,9.751812,111667,738,480,396,420
46.000,215.000,11,8.319185,95551,608,439,337,334
46.000,215.000,12,8.026461,92348,630,422,347,348
46.000,215.000,13,7.203956,82413,567,344,272,295
46.000,215.000,14,11.925760,137736,883,639,488,494
46.000,215.000,15,6.862522,78818,493,352,291,290
46.000,215.000,16,7.079073,81155,547,384,300,296
46.000,215.000,17,7.552294,86753,573,422,293,306
46.000,215.000,18,7.473610,85755,508,400,313,348
46.000,215.000,19,16.152720,186584,1223,799,597,730
Tyvek0.95
46.000,215.000,0,7.106420,81674,800,586,555,519
46.000,215.000,1,11.816964,135133,1317,1045,859,877
46.000,215.000,2,7.212242,82611,825,620,558,580
46.000,215.000,3,7.175257,82361,887,650,492,517
46.000,215.000,4,6.771867,77981,836,572,507,522
46.000,215.000,5,7.282760,83675,832,614,554,530
46.000,215.000,6,8.805948,101215,982,749,614,684
46.000,215.000,7,7.793626,89778,907,660,535,553
46.000,215.000,8,9.480034,109074,1007,817,693,703
46.000,215.000,9,7.728356,88813,939,650,536,566
46.000,215.000,10,8.741810,100447,999,747,627,700
46.000,215.000,11,10.977541,126103,1320,983,768,797
46.000,215.000,12,7.552130,86754,895,664,545,520
46.000,215.000,13,7.116297,82095,887,626,550,514
46.000,215.000,14,7.268097,83426,831,639,495,559
46.000,215.000,15,8.612543,98915,1005,768,625,646
46.000,215.000,16,7.050895,80981,762,591,506,496
46.000,215.000,17,8.354827,96245,945,730,595,634
46.000,215.000,18,8.187186,94133,962,698,558,582
46.000,215.000,19,9.146956,104654,1069,791,633,666
Tyvek0.9 
46.000,215.000,0,10.725650,123439,1029,656,424,439
46.000,215.000,1,13.530462,155634,1298,781,482,582
46.000,215.000,2,23.884623,275361,2270,1476,962,977
46.000,215.000,3,10.150331,116778,938,619,389,404
46.000,215.000,4,8.045984,92105,712,445,272,321
46.000,215.000,5,7.299899,83850,689,434,308,286
