0.000,0.000,0,8.356826,95458,828,796,826,795
0.000,0.000,1,6.719197,77164,678,644,617,641
0.000,0.000,2,7.376646,84719,688,696,668,734
0.000,0.000,3,9.648627,110769,935,918,950,966
0.000,0.000,4,7.597353,87260,812,658,696,769
0.000,0.000,5,7.658401,88259,730,755,736,715
0.000,0.000,6,8.948343,103014,858,900,864,869
0.000,0.000,7,8.668078,99377,895,824,824,878
0.000,0.000,8,7.447233,86176,788,714,696,715
0.000,0.000,9,7.721382,88474,757,727,738,704
50.000,0.000,0,7.981501,91689,813,750,697,795
50.000,0.000,1,8.609759,98635,917,760,775,922
50.000,0.000,2,9.225974,106292,971,804,786,1004
50.000,0.000,3,11.049349,126954,1170,1031,966,1221
50.000,0.000,4,7.879497,90745,824,730,747,809
50.000,0.000,5,6.911690,79703,752,624,667,726
50.000,0.000,6,7.935096,91136,830,671,710,868
50.000,0.000,7,7.369207,84261,789,671,632,755
50.000,0.000,8,10.102694,115667,1027,963,930,1059
50.000,0.000,9,6.905636,79593,766,612,618,733
100.000,0.000,0,8.315373,95410,927,657,728,957
100.000,0.000,1,6.462501,74886,784,547,554,724
100.000,0.000,2,7.320375,84169,823,595,647,898
100.000,0.000,3,7.105169,81652,819,621,593,813
100.000,0.000,4,25.221080,290156,2984,2139,2073,2913
100.000,0.000,5,7.519465,87015,896,608,686,919
100.000,0.000,6,7.630303,87594,865,634,614,824
100.000,0.000,7,7.262498,83084,850,585,569,827
100.000,0.000,8,7.464881,85646,770,637,656,858
100.000,0.000,9,7.253337,83243,872,596,571,815
150.000,0.000,0,10.512267,121190,1241,848,842,1243
150.000,0.000,1,7.791210,89777,911,618,642,934
150.000,0.000,2,6.902143,79921,870,542,586,807
150.000,0.000,3,8.201594,94100,963,648,636,960
150.000,0.000,4,7.799665,89495,960,620,638,931
150.000,0.000,5,7.108282,82171,847,601,529,854
150.000,0.000,6,8.141608,93516,979,675,644,952
150.000,0.000,7,7.744176,89232,915,611,644,946
150.000,0.000,8,6.883438,79186,853,526,548,863
150.000,0.000,9,10.637368,122679,1310,853,878,1302
200.000,0.000,0,7.848010,90493,924,633,583,941
200.000,0.000,1,10.816669,123536,1280,818,830,1266
200.000,0.000,2,8.814434,101088,1088,703,689,1097
200.000,0.000,3,6.985929,79887,886,547,542,876
200.000,0.000,4,8.497620,97009,1040,668,641,1066
200.000,0.000,5,9.595172,110910,1170,757,710,1147
200.000,0.000,6,9.995090,115250,1193,774,787,1214
200.000,0.000,7,7.129465,82244,844,584,567,876
200.000,0.000,8,7.430899,84628,822,550,583,895
200.000,0.000,9,7.897668,90975,980,609,656,958
0.000,50.000,0,7.282427,83891,769,758,659,628
0.000,50.000,1,8.800787,101315,957,945,812,773
0.000,50.000,2,8.386496,95947,876,844,783,771
0.000,50.000,3,8.028966,92514,850,859,740,700
0.000,50.000,4,7.147664,82258,813,795,640,652
0.000,50.000,5,7.189471,82445,797,733,635,662
0.000,50.000,6,9.044752,104406,981,915,797,861
0.000,50.000,7,10.184655,116966,1048,1100,912,931
