0.000,0.000,0,6.781417,77989,741,743,684,708
0.000,0.000,1,7.154632,82362,755,773,703,747
0.000,0.000,2,14.330894,164718,1450,1466,1496,1440
0.000,0.000,3,7.741805,89211,777,766,850,804
0.000,0.000,4,7.888612,91023,834,796,806,810
0.000,0.000,5,7.304753,83785,767,799,758,791
0.000,0.000,6,8.447134,97907,866,886,955,917
0.000,0.000,7,8.590873,98728,936,881,902,933
0.000,0.000,8,7.151800,82270,755,797,764,749
0.000,0.000,9,7.424322,85107,750,808,809,784
50.000,0.000,0,10.669277,123182,1192,1002,1075,1224
50.000,0.000,1,7.361970,84555,887,710,697,879
50.000,0.000,2,8.459914,96819,957,799,797,977
50.000,0.000,3,6.802281,78094,767,632,622,729
50.000,0.000,4,9.166185,105613,1063,878,875,1095
50.000,0.000,5,12.970451,148688,1549,1225,1212,1477
50.000,0.000,6,7.676883,88079,881,712,733,864
50.000,0.000,7,7.946208,91440,932,728,745,930
50.000,0.000,8,7.041813,81579,792,704,675,812
50.000,0.000,9,7.118240,81669,790,631,693,828
100.000,0.000,0,7.459764,85668,968,657,684,936
100.000,0.000,1,8.976077,102970,1098,738,789,1170
100.000,0.000,2,8.077611,92690,1047,674,726,1011
100.000,0.000,3,9.523961,109891,1216,816,816,1233
100.000,0.000,4,10.752709,123768,1361,930,948,1360
100.000,0.000,5,7.262959,83491,878,614,642,967
100.000,0.000,6,7.055877,81263,915,623,642,850
100.000,0.000,7,9.042825,104197,1150,828,787,1164
100.000,0.000,8,7.191625,82636,889,618,613,964
100.000,0.000,9,7.861524,90731,1013,673,649,1016
150.000,0.000,0,7.042840,81425,944,588,552,945
150.000,0.000,1,7.866395,90970,1052,612,627,1063
150.000,0.000,2,7.218199,82847,1006,558,589,981
150.000,0.000,3,8.046134,92455,1099,650,653,1086
150.000,0.000,4,8.119299,93880,1100,649,638,1067
150.000,0.000,5,7.737871,88664,1040,647,684,1057
150.000,0.000,6,8.065678,93230,1018,612,641,1029
150.000,0.000,7,7.158038,82072,938,553,546,886
150.000,0.000,8,23.150375,266102,3122,1814,1844,3088
150.000,0.000,9,8.298092,95381,1104,717,670,1130
200.000,0.000,0,11.030376,127161,1582,867,771,1571
200.000,0.000,1,7.486485,85869,1037,606,536,1063
200.000,0.000,2,6.883655,79321,964,508,505,925
200.000,0.000,3,7.665624,88249,1033,624,600,1051
200.000,0.000,4,6.697334,76972,838,480,497,941
200.000,0.000,5,10.764222,124106,1491,779,824,1554
200.000,0.000,6,8.672503,99186,1124,686,631,1161
200.000,0.000,7,12.903588,148331,1810,992,1002,1777
200.000,0.000,8,9.505899,108742,1335,725,721,1285
200.000,0.000,9,8.991273,103742,1278,697,699,1251
0.000,50.000,0,8.128904,93700,911,889,814,804
0.000,50.000,1,7.487870,85923,813,865,705,732
0.000,50.000,2,6.657499,75810,762,714,667,626
0.000,50.000,3,7.148055,82449,812,842,687,674
0.000,50.000,4,7.315895,83584,899,829,680,726
0.000,50.000,5,13.376587,153542,1498,1473,1271,1257
0.000,50.000,6,7.649987,87747,875,829,722,728
0.000,50.000,7,7.306199,84215,822,852,700,704
0.000,50.000,8,7.176494,82593,775,804,653,657
0.000,50.000,9,7.027313,80687,790,838,653,651
50.000,50.000,0,7.711120,88450,992,768,728,738
50.000,50.000,1,7.026480,80641,954,740,630,700
50.000,50.000,2,7.836458,90297,1011,824,711,789
50.000,50.000,3,9.609862,110907,1264,1018,870,938
50.000,50.000,4,9.136509,104824,1195,943,809,907
50.000,50.000,5,6.539077,74823,805,707,581,649
50.000,50.000,6,7.481202,86024,997,754,687,728
50.000,50.000,7,8.200006,93765,1095,803,749,850
50.000,50.000,8,7.443574,85909,974,768,663,737
50.000,50.000,9,7.377304,84657,974,783,638,771
100.000,50.000,0,7.316251,84079,1022,681,613,813
100.000,50.000,1,9.433380,108705,1340,925,821,1022
100.000,50.000,2,7.282044,84210,1091,631,589,794
100.000,50.000,3,7.474976,85660,1064,676,616,840
100.000,50.000,4,7.410817,85203,1117,639,542,882
100.000,50.000,5,9.381600,107401,1380,867,805,964
100.000,50.000,6,9.172212,105480,1412,836,739,981
100.000,50.000,7,11.962798,137239,1746,1090,952,1308
100.000,50.000,8,7.676371,88493,1095,713,622,828
100.000,50.000,9,6.805649,78255,1032,626,527,719
150.000,50.000,0,6.986812,80514,1124,579,529,829
150.000,50.000,1,8.670000,100082,1441,737,722,1012
150.000,50.000,2,7.332202,84346,1212,592,542,864
150.000,50.000,3,8.427479,97125,1357,709,619,922
150.000,50.000,4,8.063152,92868,1298,691,612,947
150.000,50.000,5,9.211334,105951,1529,753,697,1066
150.000,50.000,6,10.177191,116561,1619,846,769,1198
150.000,50.000,7,6.919941,79612,1177,587,542,798
150.000,50.000,8,6.979847,80740,1132,589,563,738
150.000,50.000,9,11.059294,127237,1837,916,876,1194
200.000,50.000,0,7.901954,91337,1351,572,615,897
200.000,50.000,1,8.974809,103662,1519,654,653,1050
200.000,50.000,2,8.017221,92718,1488,610,585,981
200.000,50.000,3,8.550299,98733,1472,656,642,946
200.000,50.000,4,8.087281,92904,1351,607,574,887
200.000,50.000,5,7.674193,88256,1315,579,549,866
200.000,50.000,6,7.428729,86256,1249,595,542,879
200.000,50.000,7,7.136006,81987,1226,578,479,848
200.000,50.000,8,7.291898,83689,1242,607,525,818
200.000,50.000,9,7.217119,83104,1195,590,539,804
0.000,100.000,0,8.922090,102252,1117,1160,806,810
0.000,100.000,1,8.015615,92093,995,1052,725,682
0.000,100.000,2,8.195205,94741,1013,1061,700,709
0.000,100.000,3,8.130386,93339,1081,979,672,706
0.000,100.000,4,9.294351,106926,1192,1177,838,851
0.000,100.000,5,8.470699,97290,1059,1080,770,719
0.000,100.000,6,6.905202,79743,894,885,603,610
0.000,100.000,7,7.364908,84420,932,871,628,660
0.000,100.000,8,7.311539,84247,941,942,644,635
0.000,100.000,9,8.630756,99599,1074,1077,800,763
